District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
274,MANIPUR,274143,138820,135323,195935,104013,91922,443,254787,122655,70594,52061,89779,32876,151488,12034,2886,254979,152,495,87,13371,29894,837,4496,52972,4853,57825,243125,57561,300686,168608,67802,37096,12613,1807,6387,24266,17498,28742,41638,Manipur,Churachandpur,24.30309718875504,93.38671506024085,974.8091053162369,71.4718230996232
275,MANIPUR,237399,118782,118617,156333,87313,69020,22113,3287,109937,62807,47130,76423,33514,127462,175102,18691,4264,56,76,16,11393,34364,676,3447,34977,21172,56149,175322,67610,242932,135220,62907,38815,25026,2009,5782,28217,23140,16508,41441,Manipur,Bishnupur,24.50712111801243,93.8246236024845,998.6109006415114,65.85242566312411
276,MANIPUR,422168,210845,211323,269304,152617,116687,40593,1808,195319,109377,85942,133428,61891,226849,267146,107323,4322,106,114,24,15994,49507,880,5110,65961,38302,104263,315532,118088,433620,251975,107196,62060,57139,3141,11574,48254,34893,29742,78949,Manipur,Thoubal,24.545392553191498,93.97959893617023,1002.2670682254737,63.79071838699285
279,MANIPUR,183998,94718,89280,129829,70148,59681,248,173606,87929,46533,41396,67724,20205,96069,7553,1115,174112,108,635,70,1659,14026,276,2437,36084,5806,41890,158906,42156,201062,113715,43646,25165,1275,1107,944,12142,7360,28568,29549,Manipur,Ukhrul,25.05900314960629,94.44129566929138,942.5874701746236,70.56000608702269
280,MANIPUR,144182,74579,69603,90302,51053,39249,540,128280,76238,42615,33623,53753,22485,67944,10810,3086,129049,136,400,59,1424,18764,184,1782,30377,3783,34160,115663,38191,153854,86255,39324,18329,7705,908,3263,12428,8319,11611,23065,Manipur,Chandel,24.2635812987013,94.09443844155844,933.2788050255434,62.630564148090606
281,MIZORAM,86364,44828,41536,60191,32977,27214,51,82080,39339,24016,15323,36185,3154,47025,2989,1782,69104,13,12328,25,4010,12158,90,1073,16726,4129,20855,64717,20091,84808,55914,20082,10318,550,565,1619,10031,6263,8945,14784,Mizoram,Mamit,23.73852942502819,92.4330803833147,926.5637547961095,69.69454865453199
282,MIZORAM,83955,42918,41037,65895,34147,31748,84,73609,36672,22733,13939,29697,6975,47283,4000,4426,75210,16,108,2,8787,14853,367,1986,9669,12507,22176,65726,14217,79943,52147,20576,11167,1119,867,2488,12841,8392,11294,16632,Mizoram,Kolasib,24.2020004347826,92.73470391304348,956.1722354256955,78.48847596926926
283,MIZORAM,400309,199270,201039,340595,169547,171048,627,373542,174636,104643,69993,151410,23226,225673,13249,5264,379134,105,1570,76,64710,79804,4019,21093,20570,80341,100911,347470,38248,385718,235892,108094,56092,4713,9581,16909,73438,59257,73761,80980,Mizoram,Aizawl,23.90781335453101,92.85359459459472,1008.8774025191951,85.08302336445097
284,MIZORAM,125745,63388,62357,100802,51440,49362,17,123466,60342,34129,26213,53111,7231,65403,1075,699,123446,9,151,45,9115,23948,186,2263,18395,12717,31112,101684,15449,117133,78778,29690,17189,911,1237,3135,19039,13445,21158,24612,Mizoram,Champhai,23.54166580976866,93.24221799485862,983.7350918154856,80.16382361127678
285,MIZORAM,64937,32851,32086,54476,27598,26878,32,62889,32397,18261,14136,29838,2559,32540,991,335,63444,6,60,9,5511,12315,131,987,7472,8018,15490,54133,5963,60096,39568,15894,9404,482,702,1723,10185,7043,11822,12317,Mizoram,Serchhip,23.263864705882344,92.914158496732,976.713037654866,83.89054006190617
